ID;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
844;chicken flavored rice raw;601;22;7;6;8;1273;4;179;2;0;21;138;0;1;0;0;2;86;9;3;0;0;3;0;302;3;47;521;17;2117;257;11;23;1843
845;instant white rice raw;361;9;1;1;2;782;26;74;18;0;39;8;0;9;3;0;44;67;4;1;0;0;79;95;209;2;6;133;9;1121;257;11;14;1152
846;rice crisps;107;4;65;17;90;241;23;18;2;0;2;11;2;6;0;0;7;73;6;8;129;0;3;0;14;80;29;67;3;269;302;96;3;439
847;parboiled white rice raw;692;19;5;5;6;1496;6;139;33;0;55;182;0;11;5;0;54;93;12;8;0;0;88;78;1314;5;62;50;19;2831;3219;38;19;3063
848;instant white rice cooked;193;8;88;1;32;414;0;36;1;0;1;1188;0;1;1;0;59;29;75;59;0;0;8;0;132;88;29;83;6;611;149;6;8;629
849;rice pilaf raw;732;28;0;0;0;1557;31;213;24;0;27;164;88;12;0;0;2;125;15;8;0;0;66;0;1693;3;5;653;18;3142;3835;37;21;35656
850;rice cracker cake;111;12;2;4;4;23;2;2;12;0;97;16;0;11;92;0;49;22;0;57;0;0;4;63;31;1;4;371;0;1019;1211;60;8;309
851;parboiled white rice cooked;194;6;1;1;1;412;2;46;14;0;88;1112;0;3;1;0;98;36;5;2;0;0;74;0;30;1;29;142;6;869;885;55;6;807
852;white rice steamed;199;4;0;0;0;447;0;42;12;0;9;825;0;31;10;0;12;7;0;6;0;0;0;0;66;27;5;66;6;436;264;0;9;576
853;brown rice cake;35;3;62;83;5;73;47;7;4;0;24;5;0;13;25;0;79;7;12;71;0;0;1;96;1;80;1;118;3;324;261;99;3;98
854;glutinous white rice raw;685;1;2;4;4;1511;0;126;52;0;15;194;0;3;17;0;1;4;15;2;0;0;0;0;204;3;3;426;18;1314;1425;38;22;1933
855;white rice pasta raw;600;4;7;1;16;1228;0;153;0;33;3;116;0;12;3;7;4;114;11;2;1;0;0;0;75;4;65;652;17;2575;3407;99;2;2246
856;glutinous white rice cooked;169;3;56;1;1;367;78;35;17;0;27;1333;0;10;12;0;25;5;4;33;0;0;31;0;35;17;2;87;5;139;174;72;7;459
857;brown rice cooked;218;16;3;6;6;458;7;45;35;0;86;1423;0;2;7;0;16;26;6;3;0;0;74;71;195;2;1;858;18;1502;1541;93;12;759
858;beef flavored rice cooked;319;79;21;35;29;544;0;7;15;0;9;1752;0;4;0;0;40;33;4;22;0;0;7;0;247;1;22;247;6;815;1186;63;1;977
859;white rice cooked;205;4;1;1;1;445;15;43;6;0;77;1081;0;3;73;0;9;23;6;1;0;0;31;0;158;1;19;19;7;679;553;59;8;675
860;chicken flavored rice cooked;317;8;17;33;27;548;15;62;16;0;9;1615;68;3;0;0;18;33;4;1;0;0;6;0;163;1;22;233;7;839;1351;88;11;89138
861;white rice raw;675;12;3;4;3;1479;2;132;24;0;81;215;0;11;4;0;91;78;19;3;0;0;2;80;518;4;8;463;2;2128;2128;57;2;2245
862;cheese imitation;441;362;66;16;12;11;11;283;0;17;8;429;1;53;98;34;4;93;0;34;0;0;3;37;7967;50;8;339;0;5989;622;63;34;8632
863;cheshire cheese;110;87;55;25;2;14;0;66;0;291;2;107;4;82;74;71;99;71;1;75;0;0;0;0;182;35;5;59;20;1313;269;6;8;198767
864;monterey cheese;421;342;215;99;1;8;6;277;0;1006;7;463;2;68;2;22;4;1;2;72;0;89;3;36;843;19;8;305;61;5017;915;21;34;9067
865;edam cheese;107;83;56;24;2;4;0;75;0;267;3;125;30;80;48;86;1;4;29;14;0;55;30;84;2193;72;1;9;80;1608;564;28;11;235628
866;fontina cheese;420;336;207;94;18;17;17;276;0;1253;9;41;3;18;100;44;2;2;5;72;0;44;3;21;594;87;2;151;30;3737;691;52;38;6574
867;monterey cheese low fat;350;244;159;64;9;8;6;319;0;735;6;52;2;40;49;7;4;1;0;77;0;2;2;74;7967;89;8;305;0;5017;915;30;34;8548
868;colby cheese;445;363;228;105;11;29;6;268;0;1074;7;432;3;29;71;89;4;1;2;84;0;53;3;73;7741;47;9;294;10;5164;1435;23;35;8413
869;american cheese;93;79;45;21;3;9;6;45;0;25;4;99;36;64;69;12;68;23;1;60;0;7;2;93;2613;34;2;65;86;1603;33;14;6;274886
870;blue cheese;106;86;56;23;2;7;2;64;0;225;3;127;18;8;30;11;1;3;5;15;0;87;90;47;1584;4;63;69;54;1161;768;35;8;174154
871;nectarine;66;5;66;1;2;158;118;16;26;0;0;1314;0;0;26;37;0;32;17;3;7;81;0;12;81;9;1;4;135;2;39;3015;0;20735
