Column1;Unnamed: 0;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
0;0;nectarine;66;5;66;1;2;158;118;16;26;0;0;1314;0;0;26;37;0;32;17;3;7;81;0;12;81;9;1;4;135;2;39;3015;0;20735
1;1;kiwifruit gold;51;2;8;99;51;128;10;8;11;0;46;668;91;0;51;58;70;2;4;67;1307;0;11;74;138;1;2;97;72;203;2552;3;77;159686
2;2;prickly pear raw;8;72;0;0;0;19;2;1;1;0;65;17;0;58;0;0;38;40;0;78;21;0;0;18;342;51;21;131;1;21;247;23;73;39263
3;3;pineapple;45;1;74;1;87;118;89;5;13;0;99;774;0;0;85;33;0;14;5;2;1;43;0;78;61;117;91;3;108;8;72;981;61;1397
4;4;rowan;253;46;6;0;0;545;321;52;141;0;83;1628;0;0;0;0;0;0;0;0;588;0;0;0;342;24;5;73;4;1186;2987;0;1;1764
5;5;muscadine grapes;3;56;0;0;0;8;0;14;2;0;24;51;0;0;46;0;0;0;0;0;0;0;0;0;22;23;14;8;1;14;122;0;27;338
6;6;heidelbeeren jutro;17;2;39;25;24;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
7;7;prunes stewed;316;7;85;5;1;832;0;34;0;0;39;1904;0;1;0;0;11;28;3;5;0;0;0;0;672;6;33;588;3;1036;9884;0;7;1578
8;8;tangerine;40;2;70;97;50;101;8;6;14;0;56;647;0;68;50;0;24;3;2;96;203;0;2;0;281;1;1;91;57;152;1262;8;78;608
9;9;prunes;237;5;57;3;1;623;0;26;0;0;76;28;0;93;42;0;1;21;3;5;0;0;0;0;504;4;25;448;2;784;7406;0;5;1183
10;10;lemon peel;1;2;57;24;95;3;54;32;2;0;28;16;0;7;25;0;18;46;55;11;26;0;61;0;27;15;32;3;0;2;32;48;36;5934
11;11;banana;134;5;2;96;1;343;183;16;39;0;55;1124;0;0;85;45;0;1;1;5;6;131;0;2;35;75;1;4;405;4;33;537;49;41084
12;12;raspberries;5;34;5;63;98;12;4;1;7;0;54;86;0;0;67;64;0;74;97;87;68;26;0;25;31;25;34;15;22;17;29;151;28;2207
13;13;apricot;17;1;30;99;28;39;32;5;7;0;20;302;0;0;17;38;0;12;2;90;26;35;0;3;39;46;12;1;35;56;81;907;31;5334
14;14;strawberry guava;4;8;39;4;41;1;0;10;3;0;59;48;0;0;0;0;62;64;0;0;22;0;0;0;13;0;71;1;0;16;175;0;0;4931
15;15;kiwifruit green;42;4;95;84;2;101;62;8;21;0;96;573;0;0;67;89;0;66;2;1;86;64;0;1;91;235;2;2;117;64;235;2153;34;13588
