Column1;Unnamed: 0;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
119;119;sprite coca cola;80;63;0;0;0;203;18;1;0;0;21;1796;0;0;0;0;0;0;32;0;0;0;0;0;0;4;42;2;2;17;0;2;0;20538
120;120;cola coca cola;151;0;0;0;0;389;389;0;0;0;45;3298;0;0;0;0;0;0;0;0;0;0;0;0;74;0;48;0;0;405;11;45;52;464
121;121;cola;74;70;0;0;0;191;179;1;0;0;72;1806;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;2;0;81;20;4;38;19336
122;122;cream soda;252;0;0;0;0;657;657;0;0;0;98;4283;0;0;0;0;0;0;0;0;0;0;0;0;247;36;2;49;80;0;49;0;3;906
123;123;club soda;0;0;0;0;0;0;0;0;0;0;46;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;10;15;78;2;52;0;4;0;25
124;124;pink lemonade;86;3;79;30;34;216;206;1;2;0;10;1778;0;3;78;0;0;47;35;61;62;0;62;0;8;11;92;4;94;4;34;0;93;36488
125;125;grape soda;160;0;0;0;0;417;0;0;0;0;42;3303;0;0;0;0;0;0;0;0;0;0;0;0;112;38;3;37;54;0;37;0;3;532
126;126;cola without caffeine coca cola;151;0;0;0;0;389;389;0;0;0;40;3298;0;0;0;0;0;0;0;0;0;0;0;0;74;0;26;0;0;405;11;63;32;46381
127;127;white lemonade;80;3;93;24;76;208;20;1;0;0;20;1787;0;0;4;43;0;20;94;94;7;78;0;40;0;8;13;3;4;83;4;30;66;2102
128;128;chocolate soda;207;0;0;0;0;526;526;0;0;0;31;4389;0;0;0;0;0;0;0;0;0;0;0;0;197;22;5;49;2;49;246;15;8;728
129;129;sweet tea lipton;130;0;0;0;0;35;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;350
130;130;hibiscus tea;74;13;5;2;40;148;12;9;6;0;91;1793;0;26;30;0;2;0;0;0;368;0;0;0;2;1;173;2;0;6;18;0;2;737
131;131;instant lemon tea;2;0;0;0;0;3;47;1;0;0;46;1992;0;0;0;0;0;3;23;60;9;0;0;0;0;6;26;20;4;8;2;36;0;494
132;132;pesca tea santal;116;0;281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;133;instant lemon tea sweetened;91;2;18;46;93;223;216;71;3;0;89;2362;0;83;0;0;0;6;0;44;0;0;0;0;52;76;0;26;3;0;389;17;48;28147
134;134;tea with milk and sugar yorkshire;15;5;3;7;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
135;135;tea blueberry muffin tekanne;4;2;2;6;4;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
136;136;chamomile tea;2;0;28;32;73;4;0;0;0;0;3;1994;0;60;50;0;22;0;27;0;0;0;0;0;4;97;2;2;78;0;18;0;6;46
137;137;black tea;2;0;72;32;29;7;0;0;0;0;91;2363;0;0;41;0;18;0;40;0;0;0;0;0;0;88;88;71;5;24;877;0;81;72
138;138;herb tea;2;0;14;43;71;4;0;0;0;0;64;1994;0;7;93;0;51;0;96;0;0;0;0;0;4;59;2;2;19;0;18;0;6;46
139;139;clam tomato juice;80;3;0;0;0;182;55;1;7;0;6;1451;0;15;79;0;64;4;1;1;83;0;2;0;133;11;2;83;73;183;1477;97;1;420
140;140;tomato juice;41;7;43;62;43;86;63;21;1;0;63;229;0;69;2;3;0;2;16;6;2;1703;0;8;56;243;1;9;267;2;462;5273;67;12742
141;141;vegetable juice;53;2;71;16;1;111;79;15;19;0;1;2263;0;0;95;39;0;91;18;6;3;67;0;8;7;266;5;1;266;2;411;4671;26;15538
142;142;tomato vegetable juice;53;2;14;14;1;111;92;15;19;0;2;2263;0;34;47;0;97;18;0;3;67;0;8;85;266;5;1;266;0;411;4671;46;5;1093
143;143;carrot juice;80;3;55;27;1;186;78;19;16;0;1;1777;0;2;77;0;1;8;5;4;17;0;23;47;48;87;9;28;3;84;584;46;4;883
144;144;acorn dried;144;89;12;56;17;152;0;23;0;0;0;14;0;5;85;0;21;7;3;2;0;0;0;0;153;2;3;232;4;291;2006;0;2;420
145;145;fenugreek seeds;36;7;2;0;0;65;0;26;27;0;90;1;0;36;46;0;19;2;0;64;3;0;0;0;195;1;37;212;1;329;855;25;3;360
146;146;peanut topping mcdonalds;181;15;24;73;4;46;12;79;0;0;0;2;0;70;15;0;99;47;3;2;0;0;23;0;13;1;4;546;6;103;1794;0;8;409
147;147;beechnuts dried;173;15;17;66;6;101;0;19;0;0;68;2;0;53;87;0;1;3;3;2;47;0;0;0;3;2;7;0;4;0;3051;0;1;327
148;148;breadnut tree seeds raw;61;3;89;61;1;131;0;17;0;0;84;127;0;40;77;0;53;2;3;1;78;0;0;0;277;4;6;192;15;19;3348;0;3;512
149;149;cumin seeds;8;5;96;3;13;9;63;4;2;0;73;2;0;79;15;0;93;64;0;21;2;0;96;1;196;58;14;77;87;105;375;72;1;232
150;150;pili nuts dried;863;955;374;447;91;48;0;13;0;0;14;33;0;11;66;0;1;6;6;1;7;0;0;0;174;11;42;3624;28;690;6084;0;36;2922
151;151;hazelnuts roasted;194;187;14;14;25;53;15;45;28;0;0;8;0;1;31;0;74;6;3;2;11;0;46;0;369;5;13;519;17;93;2265;61;8;706
152;152;lupins cooked;193;48;6;2;12;154;0;258;46;0;4;118;0;2;83;0;71;8;3;16;18;0;0;0;847;4;2;896;11;2125;4067;84;23;1391
