Column1;Unnamed: 0;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
0;0;cream cheese;51;5;29;13;2;8;5;9;0;146;16;76;2;33;64;92;97;84;52;96;4;0;0;1;8;141;82;27;13;91;155;191;39;707
1;1;neufchatel cheese;215;194;109;49;8;31;27;78;0;629;3;536;2;99;79;90;1;2;5;78;0;0;3;45;995;34;1;85;88;1173;1292;54;7;1301
2;2;requeijao cremoso light catupiry;49;36;23;9;0;9;34;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54
3;3;ricotta cheese;30;2;13;5;2;15;91;15;0;98;17;147;75;19;79;91;27;41;16;7;6;0;1;11;97;412;97;96;4;24;308;438;35;5196
4;4;cream cheese low fat;30;23;14;6;42;12;9;12;0;81;46;10;16;80;62;49;26;80;1;3;0;36;9;19;222;72;8;12;98;228;371;34;53;27007
5;5;cream cheese fat free;19;2;1;91;75;14;1;28;0;22;1;129;63;20;89;92;21;25;2;38;0;0;49;59;632;39;53;4;28;941;50;13;3;67679
6;6;gruyere cheese;116;91;53;28;5;1;1;83;0;308;2;93;61;21;72;78;4;43;2;51;0;34;35;48;2831;33;94;101;2;1694;227;79;11;300694
7;7;cheddar cheese;113;93;53;26;3;9;1;64;0;277;2;103;54;31;5;73;1;10;1;5;0;60;2;35;1988;99;77;76;63;1274;213;9;1;21553
8;8;parmesan cheese;71;45;27;14;1;6;46;64;0;122;2;54;67;62;99;59;57;39;60;66;0;95;18;21;2131;51;1;79;73;1249;166;45;5;224777
9;9;romano cheese;19;13;9;4;35;2;88;16;0;52;8;15;64;58;26;45;59;55;25;29;0;73;78;4;532;46;30;21;2;38;43;87;1;5638
10;10;parmesan cheese grated;21;14;8;4;36;7;75;14;0;43;43;11;17;3;15;91;81;77;57;77;7;0;2;14;12;427;94;94;17;26;314;9;38;3745
11;11;port salut cheese;465;372;22;123;1;8;8;314;0;1624;7;60;4;12;35;67;3;19;3;80;0;57;3;94;858;62;6;317;95;4752;1795;15;34;9284
12;12;swiss cheese;98;77;46;2;3;4;0;67;0;233;57;94;69;8;27;8;18;58;1;36;0;16;2;56;2225;26;24;83;62;1435;18;31;11;237396
13;13;goat cheese hard;128;101;7;23;2;6;6;86;0;297;76;82;1;71;35;93;3;7;1;7;0;44;83;39;2533;2;5;153;88;2063;136;82;4;2732
14;14;gouda cheese;100;77;49;22;2;6;6;7;0;319;2;116;53;16;42;10;9;81;11;53;0;40;26;74;196;13;60;81;80;1529;339;50;11;211424
15;15;pepper jack cheese lucerne;75;6;4;0;0;0;0;5;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135
16;16;caraway cheese;106;83;53;23;2;9;0;71;0;263;2;111;14;77;66;38;1;40;22;86;0;0;0;0;1905;7;2;62;2;1387;263;9;8;207072
17;17;gjetost cheese;1058;67;435;179;21;968;0;219;0;2134;14;305;8;7;76;47;31;18;76;6;0;0;0;0;908;2;12;1589;35;100790;319840;39;26;10957
18;18;tilsit cheese;136;104;67;29;3;8;0;98;0;408;3;171;57;36;72;58;1;68;1;36;0;0;0;0;280;33;10;52;86;200;26;26;14;301069
19;19;goat cheese;103;84;58;19;2;9;31;61;0;224;1;129;1;13;11;86;2;3;30;87;0;78;82;46;843;2;5;82;8;1061;447;5;2;99494
20;20;brick cheese;111;89;56;26;2;8;2;7;0;282;2;123;16;42;59;74;1;85;86;33;0;42;72;64;2022;93;1;72;85;1353;408;56;8;219002
21;21;asadero cheese;402;319;203;91;1;32;32;255;0;1187;7;476;98;34;5;43;3;2;3;24;0;71;3;20;7469;67;6;294;24;5006;972;96;34;808175
22;22;camembert cheese;90;73;46;21;2;1;1;59;0;216;3;155;91;54;43;34;1;2;4;17;0;93;14;24;1164;46;63;6;75;1041;561;35;7;129826
23;23;provolone cheese reduced fat;310;199;128;55;6;4;6;279;0;622;1;572;2;50;63;79;4;2;5;61;0;27;2;76;8543;77;6;316;96;5605;1559;54;36;9069
24;24;roquefort cheese;314;26;164;72;11;17;0;183;0;765;15;335;2;92;37;2;5;6;15;1;0;0;0;0;5627;5;5;255;36;3332;774;81;18;6094
25;25;queso blanco cheese;366;287;161;76;14;3;21;24;0;826;8;575;2;97;0;22;3;38;5;1;0;50;6;61;8142;98;2;342;67;5511;1487;16;36;8703
26;26;queso seco cheese;315;236;133;62;12;2;5;238;0;757;18;409;2;38;0;10;2;27;4;49;0;32;5;45;6412;91;2;262;83;4608;1125;48;32;6910
27;27;goat cheese soft;75;6;41;14;1;0;3;52;0;130;1;172;49;57;37;12;1;1;2;36;0;92;10;93;396;2;5;45;26;724;74;14;3;51311
28;28;mozzarella cheese;90;66;42;2;2;7;0;67;0;237;1;15;37;88;88;81;71;13;89;16;0;44;1;8;1515;57;1;6;19;1062;228;47;9;165648
29;29;chihuahua cheese;494;392;249;111;12;73;73;285;0;1386;8;517;7;53;31;82;3;2;4;61;0;89;3;11;8593;30;6;304;47;5834;686;71;46;934983
30;30;limburger cheese;98;82;5;26;1;1;1;6;0;270;2;145;1;21;95;82;2;9;4;2;0;4;55;46;1491;36;11;63;54;1179;384;29;6;163575
31;31;muenster cheese;486;397;252;115;9;15;15;309;0;1267;8;551;4;16;9;85;4;1;3;72;0;65;3;56;9464;8;5;356;93;6178;1769;59;37;10194
32;32;queso fresco cheese;365;291;158;73;13;36;28;221;0;842;9;627;3;19;29;76;2;50;4;60;0;55;5;87;6905;25;2;293;53;4697;1574;73;31;7458
33;33;brie cheese;100;83;52;24;2;1;1;62;0;300;2;145;14;40;25;73;2;1;2;1;0;68;78;56;552;15;2;6;47;564;456;40;7;70096
34;34;pimento cheese;525;437;275;125;14;24;9;31;1;1316;2;547;3;23;43;16;5;1;7;11;32;99;4;86;8596;32;6;308;31;104160;2268;89;42;9409
35;35;mexican cheese;316;217;13;56;8;38;6;277;0;694;9;54;2;91;27;50;3;17;0;40;0;87;2;73;128350;34;1;392;0;653;1042;6;48;13370
36;36;feta cheese;80;64;4;14;2;12;0;43;0;267;3;166;14;63;21;76;3;3;3;1;0;60;36;57;1479;12;2;57;63;1011;186;5;9;160058
37;37;mozzarella cheese fat free;159;0;0;0;0;4;17;358;2;203;8;68;1;79;11;25;3;1;0;55;0;0;2;18;108590;77;4;373;0;7413;1198;35;44;11282
38;38;provolone cheese;463;351;225;98;1;28;7;338;0;911;12;541;3;13;17;5;4;2;6;52;0;28;3;1;9979;11;7;37;33;6547;1822;17;43;10706
39;39;anejo cheese;492;396;251;113;12;61;61;283;0;1386;15;502;98;69;81;77;3;88;3;11;0;32;3;78;8976;58;6;37;67;5861;1148;95;39;972205
40;40;honey;64;0;0;0;0;173;172;80;25;0;11;36;0;0;22;0;3;12;30;4;1;0;0;0;13;61;17;4;98;8;109;21;8;18892
41;41;apple butter;35;63;38;66;64;85;71;45;3;0;3;113;0;78;20;0;53;92;5;57;1;0;60;75;28;85;25;8;93;16;182;78;95;11836
42;42;fruit jam;56;95;21;65;0;138;97;0;2;0;52;61;0;83;76;0;24;70;45;37;18;0;62;0;4;22;70;8;2;38;154;54;30;19919
43;43;chocolate hazelnut spread;100;55;53;0;0;115;10;1;1;0;99;2;0;5;20;42;36;72;100;56;0;0;9;71;20;61;8;118;2;281;753;21;2;398
44;44;peanut butter;88;74;14;31;17;36;1;33;9;0;85;2;0;0;81;63;0;41;2;2;78;0;0;9;0;81;79;3;269;2;503;888;44;15268
45;45;peanut spread;101;85;16;42;25;22;5;38;12;0;28;3;0;91;79;0;25;25;2;49;0;0;12;46;112;1;4;254;3;543;1268;78;5;273
46;46;chicken spread;88;98;18;27;13;23;3;101;2;314;4;321;76;60;48;64;3;15;2;16;0;0;0;0;9;49;5;67;83;498;594;29;6;31972
