Column1;Unnamed: 0;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
0;0;margarine with yoghurt;88;98;19;56;2;73;0;58;0;0;18;39;1;74;86;73;5;97;0;75;82;0;7;2;28;1;27;3;0;22;35;0;8;12971
1;1;sunflower seed butter;99;88;7;62;16;37;17;28;9;0;65;100;0;21;5;0;75;11;2;13;4;0;37;0;102;3;7;498;3;1066;922;75;8;275
2;2;hazelnut oil;120;136;1;106;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;136
3;3;menhaden fish oil;1966;218;663;582;745;0;0;0;0;113580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2180
4;4;cod liver fish oil;123;136;31;64;31;0;0;0;0;775;0;0;41;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;177
5;5;sardine oil;123;136;41;46;43;0;0;0;0;966;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;136
6;6;cupu assu oil;120;136;72;53;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;136
7;7;lard;115;128;5;58;14;0;0;0;0;122;0;0;0;0;0;0;0;0;0;0;0;25;78;0;0;0;0;0;0;0;0;12;89;128
8;8;sesame butter;94;81;11;31;36;38;0;29;9;0;31;3;0;4;2;0;99;11;77;1;0;0;0;0;1536;7;31;579;4;1054;931;88;12;1724
9;9;margarine spread;59;67;12;23;28;1;0;82;0;1;19;7;0;0;67;0;84;0;51;49;0;0;6;73;6;45;78;1;0;6;5;0;54;7547
