Column1;Unnamed: 0;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
166;166;toffee;67;39;25;11;1;78;76;1;0;125;44;40;33;74;59;21;76;1;98;44;99;79;0;1;97;41;92;94;5;82;38;61;31;12023
167;167;vanilla fudge with nuts;123;39;11;7;19;211;201;8;3;37;75;23;64;79;12;18;77;42;46;41;74;0;87;56;133;12;1;68;1;207;291;16;2;39577
168;168;peanuts chocolate coated;21;13;6;5;2;2;15;5;2;4;63;8;90;23;14;19;78;2;27;26;0;0;1;54;42;67;37;38;42;85;201;5;1;8305
169;169;caramel with nuts chocolate coated;66;29;7;13;8;85;58;13;6;0;41;9;28;67;66;0;4;7;0;50;2;0;2;24;109;50;2;113;0;232;623;94;3;24683
170;170;gingerbread;263;121;31;53;31;364;0;29;0;237;2;207;36;1;88;27;1;13;3;1;82;0;0;0;525;1;21;518;5;40;3249;82;3;106123
171;171;rolo nestle;24;1;6;34;29;2;78;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1234
172;172;vanilla fudge;108;15;1;4;84;232;226;3;0;42;40;31;63;13;56;76;12;93;15;95;0;0;67;26;108;36;36;8;45;85;139;4;89;35944
173;173;halavah;328;151;29;57;59;423;0;87;32;0;1;26;0;3;16;0;36;2;1;2;97;0;0;0;231;8;32;1526;6;4249;1309;36;3;95618
174;174;praline;189;101;9;57;3;232;218;13;14;0;16;4;0;66;96;0;71;2;1;21;1;0;2;33;168;2;5;191;7;406;846;21;7;534
175;175;fruit juice bar;67;89;0;0;26;156;135;9;8;0;11;603;0;22;32;0;55;1;99;94;73;0;0;92;39;0;1;31;1;46;408;7;68;28671
176;176;peanut brittle;138;54;12;23;13;202;145;21;7;34;1;2;51;15;46;0;98;7;1;29;0;0;7;60;76;86;3;119;2;30;475;37;2;36343
177;177;butterscotch;21;2;1;70;76;48;43;79;0;5;39;3;76;8;0;0;87;93;75;0;0;0;59;92;2;62;20;0;76;40;2;11;1;5351
178;178;chocolate coffee beans;155;94;51;39;4;156;144;21;16;57;6;7;49;7;16;63;11;52;1;2;0;0;1;40;478;1;6;181;2;532;1169;56;6;77127
179;179;nougat with almonds;56;2;2;0;0;129;117;5;5;0;61;3;0;58;44;0;45;83;44;1;96;0;4;0;45;51;82;45;43;77;147;62;51;18658
180;180;carob;135;78;73;1;28;141;85;2;1;3;15;4;0;0;20;87;86;27;3;2;7;1;0;4;51;758;11;3;9;59;315;1583;87;25013
181;181;peanut butter fudge;62;11;3;5;3;124;117;6;1;5;85;17;81;64;90;95;70;2;28;52;0;0;2;68;67;16;72;32;77;109;19;7;21;21055
182;182;sugar coated almonds;17;6;16;4;1;24;22;4;13;0;21;94;0;80;33;0;98;46;29;92;0;0;4;0;35;73;61;48;91;58;89;9;85;6936
